Epoch 0, Loss: 2.9136226131657885
Epoch 1, Loss: 2.3592360323401773
Epoch 2, Loss: 2.050214799346438
Epoch 3, Loss: 1.744220565838419
Epoch 4, Loss: 1.5120831591308497
Epoch 5, Loss: 1.3220274455987724
Epoch 6, Loss: 1.1405581968605139
Epoch 7, Loss: 0.9688467227729263
Epoch 8, Loss: 0.7543545813317512
Epoch 9, Loss: 0.5830649957535373
Epoch 10, Loss: 0.4492752254009247
Epoch 11, Loss: 0.3423500847854432
Epoch 12, Loss: 0.2661103476194819
Epoch 13, Loss: 0.20709069799275914
Epoch 14, Loss: 0.16395310203360905
Epoch 15, Loss: 0.13646717388538798
Epoch 16, Loss: 0.11481450929953034
Epoch 17, Loss: 0.09590967058850701
Epoch 18, Loss: 0.08204611981655383
Epoch 19, Loss: 0.07239209936492762
Epoch 20, Loss: 0.0665479965009697
Epoch 21, Loss: 0.06489466188867
Epoch 22, Loss: 0.06284883637337169
Epoch 23, Loss: 0.061424389884919876
Epoch 24, Loss: 0.06621633773776377
Epoch 25, Loss: 0.06679182407108082
Epoch 26, Loss: 0.06415682181621053
Epoch 27, Loss: 0.058619646735157176
Epoch 28, Loss: 0.05507863856330039
Epoch 29, Loss: 0.04494341617082335
Epoch 30, Loss: 0.037341863907588896
Epoch 31, Loss: 0.03538790784752483
Epoch 32, Loss: 0.031351512517471605
Epoch 33, Loss: 0.03329766214273538
Epoch 34, Loss: 0.03205472580898719
Epoch 35, Loss: 0.03471167864883022
Epoch 36, Loss: 0.03640305029026642
Epoch 37, Loss: 0.03760313413515212
Epoch 38, Loss: 0.03307683511109204
Epoch 39, Loss: 0.023314974739388296
Epoch 40, Loss: 0.019587012939155102
Epoch 41, Loss: 0.019854924917387166
Epoch 42, Loss: 0.027177891975778874
Epoch 43, Loss: 0.03382504389734025
Epoch 44, Loss: 0.0434915494310201
Epoch 45, Loss: 0.03477255613572753
Epoch 46, Loss: 0.02507327464676112
Epoch 47, Loss: 0.02367242473136088
Epoch 48, Loss: 0.023385677178194567
Epoch 49, Loss: 0.020310440180811344
Epoch 50, Loss: 0.018364145577689454
Epoch 51, Loss: 0.015445054269983036
Epoch 52, Loss: 0.019004638670130993
Epoch 53, Loss: 0.03486383789972325
Epoch 54, Loss: 0.03265129292389722
Epoch 55, Loss: 0.024164366930319814
Epoch 56, Loss: 0.017807453293887197
Epoch 57, Loss: 0.01364442952582316
Epoch 58, Loss: 0.011230653621980054
Epoch 59, Loss: 0.011429083938443453
Epoch 60, Loss: 0.010389997186376506
Epoch 61, Loss: 0.007414396055143588
Epoch 62, Loss: 0.0056396183597849335
Epoch 63, Loss: 0.005592524057705026
Epoch 64, Loss: 0.004802839184672257
Epoch 65, Loss: 0.004306314937966123
Epoch 66, Loss: 0.004359071710218147
Epoch 67, Loss: 0.012167898956597279
Epoch 68, Loss: 0.07263567095776652
Epoch 69, Loss: 0.056187488313669424
Epoch 70, Loss: 0.027221136462465403
Epoch 71, Loss: 0.01834256577180924
Epoch 72, Loss: 0.012245851306387098
Epoch 73, Loss: 0.008292105203126647
Epoch 74, Loss: 0.00632616338634472
Epoch 75, Loss: 0.0039006422190766806
Epoch 76, Loss: 0.0031629065022014888
Epoch 77, Loss: 0.002744383315087124
Epoch 78, Loss: 0.0022942821901576343
Epoch 79, Loss: 0.0020613684441307028
